"id","Name","type","pharmacy","ethnic","merch","registers","selfchecko","total_registers","availability","cost","market","brand","area","Latitude","Longitude"
"SL-026","Andi's Market","Grocery Store","FALSE","FALSE","FALSE","3","0",3,3,0,154.591639068914,"Other",65748.6118844002,"40.24619","-111.656447"
"SL-024","Rancho Markets","Grocery Store","FALSE","TRUE","FALSE","6","4",10,15,1,123.099083264709,"Other",70229.3138771653,"40.24619","-111.656452"
"SL-023","Stan's Market","Grocery Store","FALSE","FALSE","FALSE","5","0",5,21,7,131.043345816627,"Other",66506.4461546311,"40.246208","-111.656515"
"SL-030","La Placita Market","Grocery Store","FALSE","TRUE","FALSE","1","0",1,10,2,136.839985787936,"Other",24067.2832930535,"40.246202","-111.65644"
"SL-028","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,13,1,167.438114005953,"Family Dollar",37198.7499301434,"40.246184","-111.656425"
"SL-029","Harmon's","Grocery Store","TRUE","FALSE","FALSE","18","6",24,24,-1,156.889631087944,"Harmons",316545.081922591,"40.246194","-111.656443"
"SL-022","Dollar General","Dollar Store","FALSE","FALSE","FALSE","2","0",2,10,2,153.263701861251,"Other",32429.3581347764,"40.2328948974609375","-111.66880035400390625"
"SL-021","Smith's","Grocery Store","TRUE","FALSE","FALSE","9","12",21,26,-1,118.553613953488,"Smith's",244652.577900887,"40.2461899999999985766407917253673076629638671875","-111.65645399999999654028215445578098297119140625"
"SL-020","Dollar Tree","Dollar Store","FALSE","FALSE","FALSE","6","0",6,8,3,118.588647506336,"Dollar Tree",75740.6378136128,"40.2328948974609375","-111.66880035400390625"
"SL-019","Rancho Market","Grocery Store","FALSE","TRUE","FALSE","5","4",9,15,4,133.702707507133,"Other",68546.2577623725,"40.24619100000000315731085720472037792205810546875","-111.6564369999999968285919749177992343902587890625"
"SL-018","Walmart","Grocery Store","FALSE","FALSE","FALSE","12","7",19,24,0,128.568862790698,"Walmart",295748.901496172,"40.24621599999999688179741497151553630828857421875","-111.6564680000000038262442103587090969085693359375"
"SL-017","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,13,6,167.776433450398,"Family Dollar",31535.1677674949,"40.2328948974609375","-111.66880035400390625"
"SL-011","El Potrero Market","Grocery Store","FALSE","TRUE","FALSE","2","0",2,11,1,127.157026820354,"Other",41886.5712564364,"40.246218","-111.656464"
"SL-009","Smith's","Grocery Store","TRUE","FALSE","FALSE","8","12",20,26,3,134.475613953488,"Smith's",303221.903602362,"40.25840000000000173940861714072525501251220703125","-111.659099999999995134203345514833927154541015625"
"SL-008","99 Cent Plus","Dollar Store","FALSE","FALSE","FALSE","1","0",1,2,0,154.210154693914,"Other",23069.9221015075,"40.55471800000000115460352390073239803314208984375","-111.8966099999999954661689116619527339935302734375"
"SL-007","Walmart Supercenter","Grocery Store","FALSE","FALSE","TRUE","26","8",34,27,3,124.069031007752,"Walmart",711784.401495576,"40.2462110000000024001565179787576198577880859375","-111.65640700000000151703716255724430084228515625"
"SL-006","Target","Grocery Store","FALSE","FALSE","TRUE","13","4",17,20,4,136.260316401469,"Target",281428.152437508,"40.24620300000000128193278214894235134124755859375","-111.6564139999999980545908329077064990997314453125"
"SL-005","Winco","Grocery Store","FALSE","FALSE","FALSE","17","6",23,26,6,99.2179310077519,"Winco",461789.09886694,"40.2462009999999992260200087912380695343017578125","-111.65640700000000151703716255724430084228515625"
"SL-004","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,11,2,165.819144840967,"Family Dollar",32042.0898844898,"40.25840000000000173940861714072525501251220703125","-111.659099999999995134203345514833927154541015625"
"SL-002","Dollar Tree","Dollar Store","FALSE","FALSE","FALSE","4","0",4,5,1,154.19432136058,"Dollar Tree",97537.8334437013,"40.25840000000000173940861714072525501251220703125","-111.659099999999995134203345514833927154541015625"
"SL-003","Smith's","Grocery Store","TRUE","FALSE","FALSE","11","12",23,26,0,118.771647286822,"Smith's",149805.55745784,"40.25840000000000173940861714072525501251220703125","-111.659099999999995134203345514833927154541015625"
"SL-001","Rancho Market #5","Grocery Store","FALSE","TRUE","FALSE","5","4",9,13,1,112.09140813551,"Other",47235.2781077921,"40.25840000000000173940861714072525501251220703125","-111.659099999999995134203345514833927154541015625"
"SL-016","Anaya's Market","Grocery Store","FALSE","TRUE","FALSE","3","0",3,8,1,139.261588560945,"Other",48730.5029527843,"40.25840000000000173940861714072525501251220703125","-111.659099999999995134203345514833927154541015625"
