"id","type","pharmacy","ethnic","merch","registers","selfchecko","total_registers","availability","cost","market","Name","brand","area","Latitude","Longitude"
"UT-042","Other","FALSE","TRUE","FALSE","1","0",1,2,0,141.536209901386,"La Pequenita","Other",5309.22546948306,"40.2771019999999992933226167224347591400146484375","-111.6862880000000046720742830075323581695556640625"
"UT-043","Grocery Store","TRUE","FALSE","FALSE","11","12",23,26,-1,126.921015503876,"Smith's","Smith's",190454.689902159,"40.29614000000000118006937555037438869476318359375","-111.6919500000000056161297834478318691253662109375"
"UT-049","Grocery Store","FALSE","TRUE","FALSE","1","0",1,8,1,124.975064100278,"First Oriental Market","Other",11152.4004032314,"40.2342071533203125","-111.64420318603515625"
"UT-054","Grocery Store","FALSE","TRUE","FALSE","3","0",3,9,-1,99.97891660005,"El Mexicano Market","Other",43640.8008725052,"40.27610299999999909914549789391458034515380859375","-111.6847120000000046502464101649820804595947265625"
"UT-055","Grocery Store","TRUE","FALSE","FALSE","11","6",17,27,6,128.441613178295,"Macey's","Macey's",229147.336496539,"40.2342071533203125","-111.64420318603515625"
"UT-056","Grocery Store","FALSE","FALSE","FALSE","2","0",2,11,3,198.899428335832,"Real Foods Market","Other",55473.9535659552,"40.2342071533203125","-111.64420318603515625"
"UT-058","Grocery Store","FALSE","FALSE","FALSE","17","7",24,24,2,87.3229782945736,"WinCo","Winco",290471.431052804,"40.314154000000002042725100181996822357177734375","-111.7205880000000064455889514647424221038818359375"
"UT-071","Grocery Store","FALSE","TRUE","FALSE","1","0",1,0,0,141.869002633944,"Jalisco's","Other",19011.3309709779,"40.17919921875","-111.53589630126953125"
"UT-070","Grocery Store","TRUE","FALSE","FALSE","17","6",23,25,3,131.470473643411,"Fresh Market","Other",188243.748311546,"40.17919921875","-111.53589630126953125"
"UT-074","Other","FALSE","FALSE","FALSE","4","0",4,21,-2,129.256269623043,"Good Earth","Other",57523.985800813,"40.62359619140625","-111.96790313720703125"
"UT-077","Convenience Store","FALSE","FALSE","FALSE","2","0",2,3,1,141.878209901386,"Top Stop","Other",66375.7628036477,"40.62359619140625","-111.96790313720703125"
"UT-078","Grocery Store","TRUE","FALSE","FALSE","10","1",11,25,1,109.23752248062,"Macey's","Macey's",184035.014765561,"40.62359619140625","-111.96790313720703125"
"UT-079","Grocery Store","TRUE","FALSE","FALSE","5","0",5,25,4,117.378475968992,"Kohler's","Other",70814.0493241549,"40.62359619140625","-111.96790313720703125"
"UT-018","Other","FALSE","FALSE","FALSE","5","0",5,24,-2,167.245256292182,"Good Earth","Other",53708.543800191,"40.2584075927734375","-111.6591033935546875"
"UT-019","Grocery Store","TRUE","FALSE","FALSE","12","6",18,25,6,119.151266666667,"Macey's","Macey's",233234.244919905,"40.1238689999999991186996339820325374603271484375","-111.6515650000000050567905418574810028076171875"
"UT-022","Grocery Store","TRUE","FALSE","FALSE","11","0",11,23,5,173.222457364341,"Ream's","Other",131520.619185083,"40.65960693359375","-111.91950225830078125"
"UT-021","Grocery Store","FALSE","FALSE","TRUE","17","12",29,26,-1,120.396834108527,"Smith's","Smith's",753431.245676424,"40.1591329999999970823409967124462127685546875","-111.6299949999999938654582365415990352630615234375"
"UT-020","Grocery Store","FALSE","FALSE","TRUE","19","19",38,25,2,96.4251968992248,"Walmart Supercenter","Walmart",779944.601364911,"40.24341299999999677083906135521829128265380859375","-111.6596799999999944930095807649195194244384765625"
"UT-023","Other","FALSE","FALSE","FALSE","2","0",2,4,0,181.741912179374,"Lemon and Sage Market","Other",5094.15305495262,"40.65960693359375","-111.91950225830078125"
"UT-081","Grocery Store","FALSE","FALSE","TRUE","23","12",35,27,2,123.634034108527,"Smith's","Smith's",438487.757862358,"40.42316699999999940473571768961846828460693359375","-111.8777970000000010486473911441862583160400390625"
"UT-082","Grocery Store","FALSE","FALSE","TRUE","26","10",36,23,5,118.406492248062,"Walmart Supercenter","Walmart",633617.874037728,"40.2584075927734375","-111.6591033935546875"
"UT-084","Grocery Store","TRUE","FALSE","FALSE","10","0",10,25,3,100.532892248062,"Ridley's Family Market","Other",170763.31724183,"40.2584075927734375","-111.6591033935546875"
"UT-090","Grocery Store","FALSE","FALSE","FALSE","4","0",4,23,2,112.152841860465,"Meier's Meats and fine foods","Other",84625.4026131332,"40.43148899999999912324710749089717864990234375","-111.7900039999999961537469062022864818572998046875"
"UT-066","Grocery Store","FALSE","FALSE","TRUE","18","6",24,26,6,103.627717829457,"Walmart Supercenter","Walmart",465002.548030853,"38.4799041748046875","-121.445098876953125"
"UT-065","Grocery Store","TRUE","FALSE","FALSE","9","5",14,25,3,121.354615503876,"Smith's","Smith's",179704.948240161,"40.3730010986328125","-111.7371978759765625"
"UT-091","Grocery Store","TRUE","FALSE","FALSE","9","5",14,25,3,118.61552248062,"Macey's","Macey's",193791.260335349,"40.43124900000000110367182060144841670989990234375","-111.7865160000000059881131164729595184326171875"
"UT-017","Grocery Store","TRUE","FALSE","FALSE","6","8",14,25,3,144.076658914729,"Walmart Neighborhood Market","Walmart",233120.010701567,"40.2342071533203125","-111.64420318603515625"
"UT-047","Grocery Store","FALSE","FALSE","TRUE","0","0",0,0,0,141.869002633944,"Target Grocery","Target",531405.161341667,"40.3968963623046875","-111.791900634765625"
"UT-036","Grocery Store","FALSE","FALSE","TRUE","6","4",10,21,2,152.371041860465,"Target Grocery","Target",84359.2102832147,"40.2517279999999999517967808060348033905029296875","-111.6665569999999974015736370347440242767333984375"
"UT-014","Grocery Store","TRUE","FALSE","FALSE","9","0",9,22,5,115.56203875969,"Payson Market","Other",124388.744314269,"40.1572469999999981382643454708158969879150390625","-111.6473519999999979290805640630424022674560546875"
"UT-015","Grocery Store","FALSE","FALSE","FALSE","6","0",6,24,7,116.709348837209,"Stokes Salem Inc","Other",212741.596447359,"40.06680800000000175487002707086503505706787109375","-111.66671999999999798092176206409931182861328125"
"UT-026","Grocery Store","FALSE","TRUE","FALSE","2","0",2,6,-1,150.032830328348,"Asian Market","Other",39668.2839143872,"40.2584075927734375","-111.6591033935546875"
"UT-025","Grocery Store","FALSE","FALSE","FALSE","5","4",9,26,1,125.57152248062,"Fresh Market","Other",155396.257073551,"40.2342071533203125","-111.64420318603515625"
"UT-029","Grocery Store","FALSE","FALSE","FALSE","3","0",3,21,3,161.016866315407,"South End Market","Other",35959.8086360395,"40.62359619140625","-111.96790313720703125"
"UT-069","Grocery Store","FALSE","FALSE","FALSE","8","4",12,28,3,100.388289922481,"Walmart Neighborhood Market","Walmart",235006.340925455,"40.3730010986328125","-111.7371978759765625"
"UT-016","Grocery Store","TRUE","FALSE","TRUE","11","18",29,27,3,96.092692248062,"Walmart Supercenter","Walmart",450367.211878121,"40.2342071533203125","-111.64420318603515625"
